"name 1","name 2","uri 1","uri 2"
"logo","locator","http://xmlns.com/foaf/0.1/logo","http://purl.org/ontology/bibo/locator"
"made","handle","http://xmlns.com/foaf/0.1/made","http://purl.org/ontology/bibo/handle"
"maker","number","http://xmlns.com/foaf/0.1/maker","http://prismstandard.org/namespaces/1.2/basic/number"
"maker","number","http://xmlns.com/foaf/0.1/maker","http://purl.org/ontology/bibo/number"
"member","number","http://xmlns.com/foaf/0.1/member","http://prismstandard.org/namespaces/1.2/basic/number"
"member","number","http://xmlns.com/foaf/0.1/member","http://purl.org/ontology/bibo/number"
"name","example","http://xmlns.com/foaf/0.1/name","http://www.w3.org/2004/02/skos/core#example"
"name","number","http://xmlns.com/foaf/0.1/name","http://prismstandard.org/namespaces/1.2/basic/number"
"name","number","http://xmlns.com/foaf/0.1/name","http://purl.org/ontology/bibo/number"
"name","prefix name","http://xmlns.com/foaf/0.1/name","http://purl.org/ontology/bibo/prefixName"
"name","suffix name","http://xmlns.com/foaf/0.1/name","http://purl.org/ontology/bibo/suffixName"
"name","family_name","http://xmlns.com/foaf/0.1/name","http://xmlns.com/foaf/0.1/family_name"
"name","givenname","http://xmlns.com/foaf/0.1/name","http://xmlns.com/foaf/0.1/givenname"
"name","name","http://xmlns.com/foaf/0.1/name","http://xmlns.com/foaf/0.1/name"
"nickname","endingPage","http://xmlns.com/foaf/0.1/nick","http://prismstandard.org/namespaces/1.2/basic/endingPage"
"nickname","prefix name","http://xmlns.com/foaf/0.1/nick","http://purl.org/ontology/bibo/prefixName"
"nickname","suffix name","http://xmlns.com/foaf/0.1/nick","http://purl.org/ontology/bibo/suffixName"
"nickname","family_name","http://xmlns.com/foaf/0.1/nick","http://xmlns.com/foaf/0.1/family_name"
"nickname","givenname","http://xmlns.com/foaf/0.1/nick","http://xmlns.com/foaf/0.1/givenname"
"nickname","name","http://xmlns.com/foaf/0.1/nick","http://xmlns.com/foaf/0.1/name"
"openid","coden","http://xmlns.com/foaf/0.1/openid","http://purl.org/ontology/bibo/coden"
"openid","page end","http://xmlns.com/foaf/0.1/openid","http://purl.org/ontology/bibo/pageEnd"
"openid","pmid","http://xmlns.com/foaf/0.1/openid","http://purl.org/ontology/bibo/pmid"
"page","page end","http://xmlns.com/foaf/0.1/page","http://purl.org/ontology/bibo/pageEnd"
"page","page start","http://xmlns.com/foaf/0.1/page","http://purl.org/ontology/bibo/pageStart"
"page","pages","http://xmlns.com/foaf/0.1/page","http://purl.org/ontology/bibo/pages"
"page","agent","http://xmlns.com/foaf/0.1/page","http://purl.org/NET/c4dm/event.owl#agent"
"page","place","http://xmlns.com/foaf/0.1/page","http://purl.org/NET/c4dm/event.owl#place"
"page","homepage","http://xmlns.com/foaf/0.1/page","http://xmlns.com/foaf/0.1/homepage"
"past project","abstract","http://xmlns.com/foaf/0.1/pastProject","http://purl.org/ontology/bibo/abstract"
"past project","page start","http://xmlns.com/foaf/0.1/pastProject","http://purl.org/ontology/bibo/pageStart"
"past project","product","http://xmlns.com/foaf/0.1/pastProject","http://purl.org/NET/c4dm/event.owl#product"
"past project","subject","http://xmlns.com/foaf/0.1/pastProject","http://purl.org/dc/terms/subject"
"phone","handle","http://xmlns.com/foaf/0.1/phone","http://purl.org/ontology/bibo/handle"
"phone","owner","http://xmlns.com/foaf/0.1/phone","http://purl.org/ontology/bibo/owner"
"plan","place","http://xmlns.com/foaf/0.1/plan","http://purl.org/NET/c4dm/event.owl#place"
"publications","edition","http://xmlns.com/foaf/0.1/publications","http://prismstandard.org/namespaces/1.2/basic/edition"
"publications","edition","http://xmlns.com/foaf/0.1/publications","http://purl.org/ontology/bibo/edition"
"publications","locator","http://xmlns.com/foaf/0.1/publications","http://purl.org/ontology/bibo/locator"
"publications","section","http://xmlns.com/foaf/0.1/publications","http://purl.org/ontology/bibo/section"
"publications","publisher","http://xmlns.com/foaf/0.1/publications","http://purl.org/dc/terms/publisher"
"publications","relation","http://xmlns.com/foaf/0.1/publications","http://purl.org/dc/terms/relation"
"publications","depiction","http://xmlns.com/foaf/0.1/publications","http://xmlns.com/foaf/0.1/depiction"
"schoolHomepage","homepage","http://xmlns.com/foaf/0.1/schoolHomepage","http://xmlns.com/foaf/0.1/homepage"
"status","term_status","http://xmlns.com/foaf/0.1/status","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status"
"status","abstract","http://xmlns.com/foaf/0.1/status","http://purl.org/ontology/bibo/abstract"
